IC	price	income	temp	Year
.386	.270	78	41	0
.374	.282	79	56	0
.393	.277	81	63	0
.425	.280	80	68	0
.406	.272	76	69	0
.344	.262	78	65	0
.327	.275	82	61	0
.288	.267	79	47	0
.269	.265	76	32	0
.256	.277	79	24	0
.286	.282	82	28	1
.298	.270	85	26	1
.329	.272	86	32	1
.318	.287	83	40	1
.381	.277	84	55	1
.381	.287	82	63	1
.470	.280	80	72	1
.443	.277	78	72	1
.386	.277	84	67	1
.342	.277	86	60	1
.319	.292	85	44	1
.307	.287	87	40	1
.284	.277	94	32	1
.326	.285	92	27	2
.309	.282	95	28	2
.359	.265	96	33	2
.376	.265	94	41	2
.416	.265	96	52	2
.437	.268	91	64	2
.548	.260	90	71	2
