Column1,Date...Time,City,Date,Month,Year,lat,lon
4880,7/14/2009 12:35,San Diego,7/14/2009,9-Jul,2009,32.715738,-117.1610838
4879,7/14/2009 23:00,Three Rivers,7/14/2009,9-Jul,2009,36.4388364,-118.9045445
4878,7/14/2009 23:35,Orange,7/14/2009,9-Jul,2009,33.7877944,-117.8531119
4877,7/16/2009 0:00,Santa Rosa,7/16/2009,9-Jul,2009,38.440429,-122.7140548
4876,7/16/2009 0:24,Cypress,7/16/2009,9-Jul,2009,33.8169599,-118.0372852
4875,7/17/2009 21:30,Rancho Santa Margarita,7/17/2009,9-Jul,2009,33.640855,-117.603104
4874,7/17/2009 22:45,San Clemente,7/17/2009,9-Jul,2009,33.4269728,-117.6119925
4873,7/18/2009 0:04,Los Angeles,7/18/2009,9-Jul,2009,34.0522342,-118.2436849
4872,7/18/2009 3:00,Los Altos,7/18/2009,9-Jul,2009,37.3852183,-122.1141298
4871,7/18/2009 22:00,Santa Cruz,7/18/2009,9-Jul,2009,36.9741171,-122.0307963
4870,7/18/2009 22:47,Escondido,7/18/2009,9-Jul,2009,33.1192068,-117.086421
4869,7/19/2009 1:20,Lake Forest,7/19/2009,9-Jul,2009,33.6469661,-117.689218
4868,7/19/2009 22:20,Newport Beach,7/19/2009,9-Jul,2009,33.6189101,-117.9289469
4867,7/19/2009 23:00,Cabazon,7/19/2009,9-Jul,2009,33.9175154,-116.7872399
4866,7/20/2009 0:00,Novato (??),7/20/2009,9-Jul,2009,38.1074198,-122.5697032
4865,7/20/2009 14:46,Davis,7/20/2009,9-Jul,2009,38.5449065,-121.7405167
4864,7/21/2009 22:30,Victorville,7/21/2009,9-Jul,2009,34.5362184,-117.2927641
4863,7/22/2009 23:30,Sunnyvale,7/22/2009,9-Jul,2009,37.36883,-122.0363496
4862,7/23/2009 0:00,Leggett,7/23/2009,9-Jul,2009,39.8654841,-123.7148275
4861,7/23/2009 1:45,Los Angeles,7/23/2009,9-Jul,2009,34.0522342,-118.2436849
4860,7/23/2009 10:44,Escondido,7/23/2009,9-Jul,2009,33.1192068,-117.086421
4859,7/25/2009 16:30,Los Angeles,7/25/2009,9-Jul,2009,34.0522342,-118.2436849
4858,7/25/2009 20:30,Ridgecrest,7/25/2009,9-Jul,2009,35.6224561,-117.6708966
4857,7/25/2009 21:00,Redding,7/25/2009,9-Jul,2009,40.5865396,-122.3916754
4856,7/25/2009 21:08,Auberry,7/25/2009,9-Jul,2009,37.0807823,-119.4854113
4855,7/25/2009 21:10,Pollockpines,7/25/2009,9-Jul,2009,38.7612923,-120.5865935
4854,7/25/2009 22:15,Corona,7/25/2009,9-Jul,2009,33.8752935,-117.5664384
4852,7/25/2009 23:00,Santa Paula,7/25/2009,9-Jul,2009,34.3541659,-119.0592705
4853,7/25/2009 23:00,Santa Paula,7/25/2009,9-Jul,2009,34.3541659,-119.0592705
4851,7/28/2009 20:45,Poway,7/28/2009,9-Jul,2009,32.9628232,-117.0358646
4850,7/30/2009 21:30,Capitola,7/30/2009,9-Jul,2009,36.9752283,-121.953293
4849,8/1/2009 13:00,Santa Clara,8/1/2009,9-Aug,2009,37.3541079,-121.9552356
4848,8/1/2009 20:22,San Pedro,8/1/2009,9-Aug,2009,33.7360619,-118.2922461
4847,8/2/2009 21:26,Glendale,8/2/2009,9-Aug,2009,34.1425078,-118.255075
4846,8/4/2009 8:00,Long Beach,8/4/2009,9-Aug,2009,33.7700504,-118.1937395
4845,8/5/2009 10:00,Hawthorne,8/5/2009,9-Aug,2009,33.9164032,-118.3525748
4844,8/5/2009 11:30,Glendora,8/5/2009,9-Aug,2009,34.1361187,-117.865339
4843,8/5/2009 14:30,Red Mountain,8/5/2009,9-Aug,2009,35.3582966,-117.6167261
4842,8/5/2009 17:00,Santa Cruz,8/5/2009,9-Aug,2009,36.9741171,-122.0307963
4841,8/5/2009 22:00,Clovis,8/5/2009,9-Aug,2009,36.8252277,-119.7029194
4840,8/6/2009 0:34,Clovis,8/6/2009,9-Aug,2009,36.8252277,-119.7029194
4839,8/6/2009 2:05,Pico Rivera,8/6/2009,9-Aug,2009,33.9830688,-118.096735
4838,8/6/2009 13:20,San Clemente,8/6/2009,9-Aug,2009,33.4269728,-117.6119925
4837,8/6/2009 21:30,Santa Rosa,8/6/2009,9-Aug,2009,38.440429,-122.7140548
4836,8/7/2009 21:40,Moreno Valley,8/7/2009,9-Aug,2009,33.9424658,-117.2296717
4835,8/7/2009 22:00,Sacramento,8/7/2009,9-Aug,2009,38.5815719,-121.4943996
4834,8/9/2009 0:00,San Jose,8/9/2009,9-Aug,2009,37.3382082,-121.8863286
4833,8/10/2009 0:08,San Jose,8/10/2009,9-Aug,2009,37.3382082,-121.8863286
4832,8/10/2009 23:00,Martinez,8/10/2009,9-Aug,2009,38.0193657,-122.1341321
4831,8/13/2009 23:30,Davis,8/13/2009,9-Aug,2009,38.5449065,-121.7405167
4830,8/14/2009 4:00,Sacramento,8/14/2009,9-Aug,2009,38.5815719,-121.4943996
4829,8/14/2009 4:00,Pleasanton/Livermore,8/14/2009,9-Aug,2009,37.6642082,-121.8788481
4828,8/14/2009 8:41,Newark,8/14/2009,9-Aug,2009,37.5296593,-122.0402399
4827,8/15/2009 23:00,Simi Valley,8/15/2009,9-Aug,2009,34.2694474,-118.781482
4826,8/16/2009 0:10,Saugus,8/16/2009,9-Aug,2009,34.4113854,-118.5400858
4825,8/16/2009 14:00,Auberry,8/16/2009,9-Aug,2009,37.0807823,-119.4854113
4824,8/16/2009 17:00,Van Nuys,8/16/2009,9-Aug,2009,34.1898566,-118.451357
4823,8/18/2009 9:03,Fresno,8/18/2009,9-Aug,2009,36.7468422,-119.7725868
4821,8/19/2009 23:30,Escondido,8/19/2009,9-Aug,2009,33.1192068,-117.086421
4820,8/19/2009 23:45,Panoche,8/19/2009,9-Aug,2009,36.5969274,-120.8337116
4819,8/20/2009 0:00,Palo Alto (assumed location),8/20/2009,9-Aug,2009,36.778261,-119.4179324
4818,8/20/2009 21:00,San Leandro,8/20/2009,9-Aug,2009,37.7249296,-122.1560768
4817,8/21/2009 5:00,Simi Valley,8/21/2009,9-Aug,2009,34.2694474,-118.781482
4816,8/22/2009 3:45,San Jose,8/22/2009,9-Aug,2009,37.3382082,-121.8863286
4815,8/22/2009 21:00,Fresno,8/22/2009,9-Aug,2009,36.7468422,-119.7725868
4814,8/22/2009 21:43,San Diego,8/22/2009,9-Aug,2009,32.715738,-117.1610838
4813,8/22/2009 21:50,Rancho Cucamonga,8/22/2009,9-Aug,2009,34.1063989,-117.5931084
4811,8/23/2009 13:30,San Diego,8/23/2009,9-Aug,2009,32.715738,-117.1610838
4812,8/23/2009 13:30,San Diego,8/23/2009,9-Aug,2009,32.715738,-117.1610838
4810,8/23/2009 16:00,Salyer,8/23/2009,9-Aug,2009,40.8917517,-123.5827846
4809,8/23/2009 20:40,Santa Rosa,8/23/2009,9-Aug,2009,38.440429,-122.7140548
4808,8/23/2009 20:50,Santa Rosa,8/23/2009,9-Aug,2009,38.440429,-122.7140548
4807,8/23/2009 21:00,Santa Rosa,8/23/2009,9-Aug,2009,38.440429,-122.7140548
4806,8/23/2009 22:00,Tustin,8/23/2009,9-Aug,2009,33.7458511,-117.826166
4805,8/24/2009,Bell,8/24/2009,9-Aug,2009,33.9775142,-118.1870156
4804,8/24/2009 0:30,La Mesa,8/24/2009,9-Aug,2009,32.7678287,-117.0230839
4803,8/24/2009 17:30,Modesto,8/24/2009,9-Aug,2009,37.6390972,-120.9968782
4802,8/25/2009 4:30,Concord,8/25/2009,9-Aug,2009,37.9779776,-122.0310733
4800,8/25/2009 21:31,Carmichael,8/25/2009,9-Aug,2009,38.617127,-121.3282843
4801,8/25/2009 21:31,Carmichael,8/25/2009,9-Aug,2009,38.617127,-121.3282843
4799,8/25/2009 21:45,Aliso Viejo,8/25/2009,9-Aug,2009,33.5676842,-117.7256083
4798,8/25/2009 22:15,Corona,8/25/2009,9-Aug,2009,33.8752935,-117.5664384
4797,8/26/2009 20:45,Clovis,8/26/2009,9-Aug,2009,36.8252277,-119.7029194
4796,8/26/2009 21:30,Modesto,8/26/2009,9-Aug,2009,37.6390972,-120.9968782
4795,8/27/2009 21:00,Modesto,8/27/2009,9-Aug,2009,37.6390972,-120.9968782
4794,8/27/2009 22:00,San Diego,8/27/2009,9-Aug,2009,32.715738,-117.1610838
4793,8/27/2009 22:15,San Rafael,8/27/2009,9-Aug,2009,37.9735346,-122.5310874
