Date / Time,City,Date,Month,Year
7/21/2016 1:00,Oceano,7/21/2016,16-Jul,2016
7/20/2016 23:20,Culver City,7/20/2016,16-Jul,2016
7/15/2016 13:25,Tulare,7/15/2016,16-Jul,2016
7/15/2016 4:45,San diego,7/15/2016,16-Jul,2016
7/15/2016 0:30,Colfax,7/15/2016,16-Jul,2016
7/11/2016 21:05,Murrieta,7/11/2016,16-Jul,2016
7/10/2016 18:00,Los Banos,7/10/2016,16-Jul,2016
7/10/2016 16:30,Van Nuys,7/10/2016,16-Jul,2016
7/9/2016 21:15,Lakeside,7/9/2016,16-Jul,2016
7/7/2016 21:47,Laguna Hills,7/7/2016,16-Jul,2016
7/7/2016 0:40,Alameda,7/7/2016,16-Jul,2016
7/6/2016 23:33,Lincoln and Roseville,7/6/2016,16-Jul,2016
7/6/2016 9:00,Redlands,7/6/2016,16-Jul,2016
7/4/2016 21:15,Santa Barbara,7/4/2016,16-Jul,2016
7/4/2016 21:12,Hawthorne,7/4/2016,16-Jul,2016
7/4/2016 21:00,Elk Grove,7/4/2016,16-Jul,2016
7/4/2016 20:00,Channel Islands Point Magu,7/4/2016,16-Jul,2016
7/4/2016 20:00,San Gabriel,7/4/2016,16-Jul,2016
7/3/2016 21:10,Riverside,7/3/2016,16-Jul,2016
7/2/2016 22:30,Kings Canyon National Parks,7/2/2016,16-Jul,2016
7/2/2016 22:28,Lafayette,7/2/2016,16-Jul,2016
7/1/2016 23:00,Lodi,7/1/2016,16-Jul,2016
7/1/2016 8:45,Escondido,7/1/2016,16-Jul,2016
6/30/2016 23:09,Santa Clarita,6/30/2016,16-Jun,2016
6/30/2016 22:07,Placerville,6/30/2016,16-Jun,2016
6/30/2016 20:40,Rancho Cucamonga,6/30/2016,16-Jun,2016
6/30/2016 20:00,Pacifica,6/30/2016,16-Jun,2016
6/30/2016 20:00,Pacifica,6/30/2016,16-Jun,2016
6/30/2016 5:00,Woodland Hills,6/30/2016,16-Jun,2016
6/29/2016 17:00,Long Beach,6/29/2016,16-Jun,2016
6/27/2016 21:00,Palomar Mountain,6/27/2016,16-Jun,2016
6/27/2016 16:00,Garden Grove,6/27/2016,16-Jun,2016
6/23/2016 23:00,Oxnard,6/23/2016,16-Jun,2016
6/20/2016 19:45,San Ramon,6/20/2016,16-Jun,2016
6/19/2016 4:30,BUena Park,6/19/2016,16-Jun,2016
6/18/2016 22:32,Garden Grove,6/18/2016,16-Jun,2016
6/18/2016 20:00,Temecula,6/18/2016,16-Jun,2016
6/15/2016 22:15,Tarzana,6/15/2016,16-Jun,2016
6/12/2016 21:15,Palo Alto,6/12/2016,16-Jun,2016
6/12/2016 20:58,Redondo Beach,6/12/2016,16-Jun,2016
6/12/2016 19:55,Santa Fe Springs,6/12/2016,16-Jun,2016
6/11/2016 23:57,Laguna Beach,6/11/2016,16-Jun,2016
6/11/2016 23:00,La Puente,6/11/2016,16-Jun,2016
6/11/2016 22:00,Laguna Niguel,6/11/2016,16-Jun,2016
6/11/2016 21:50,Sonoma,6/11/2016,16-Jun,2016
6/11/2016 18:25,North Hollywood,6/11/2016,16-Jun,2016
6/10/2016 23:30,Chino,6/10/2016,16-Jun,2016
6/10/2016 18:10,Agoura Hills,6/10/2016,16-Jun,2016
6/8/2016 21:10,Anaheim,6/8/2016,16-Jun,2016
6/8/2016 21:00,Palm Springs,6/8/2016,16-Jun,2016
6/8/2016 20:30,Indio,6/8/2016,16-Jun,2016
6/8/2016 18:20,Buena Park,6/8/2016,16-Jun,2016
6/8/2016 13:35,South Lake Tahoe,6/8/2016,16-Jun,2016
6/8/2016 9:05,Ridgecrest,6/8/2016,16-Jun,2016
6/7/2016 21:39,Long Beach,6/7/2016,16-Jun,2016
6/6/2016 14:00,Pleasanton,6/6/2016,16-Jun,2016
6/5/2016 4:00,Valley Village,6/5/2016,16-Jun,2016
6/4/2016 22:30,Santa Clarita,6/4/2016,16-Jun,2016
6/4/2016 22:30,Joshua Tree,6/4/2016,16-Jun,2016
6/4/2016 22:00,Joshua Tree,6/4/2016,16-Jun,2016
6/4/2016 19:45,Fair Oaks,6/4/2016,16-Jun,2016
6/3/2016 22:00,Orange,6/3/2016,16-Jun,2016
6/3/2016 21:45,San Francisco,6/3/2016,16-Jun,2016
6/3/2016 21:00,Norwalk,6/3/2016,16-Jun,2016
6/3/2016 11:35,Joshua Tree-Twenty Nine Palms,6/3/2016,16-Jun,2016
6/1/2016 13:00,Elk Grove,6/1/2016,16-Jun,2016
5/27/2016 23:00,Sacramento,5/27/2016,16-May,2016
5/27/2016 21:00,Gerber,5/27/2016,16-May,2016
5/26/2016 20:00,Modesto,5/26/2016,16-May,2016
5/26/2016 10:00,San Francisco,5/26/2016,16-May,2016
5/25/2016 22:00,Los Angeles (Del Mar Beach),5/25/2016,16-May,2016
5/25/2016 4:15,Barstow,5/25/2016,16-May,2016
5/24/2016 6:30,Carlsbad,5/24/2016,16-May,2016
5/21/2016 21:45,San Diego,5/21/2016,16-May,2016
5/21/2016 18:15,Claremont,5/21/2016,16-May,2016
5/19/2016 3:00,Dos Palos,5/19/2016,16-May,2016
5/18/2016 21:45,Pollock Pines,5/18/2016,16-May,2016
5/18/2016 0:30,San Jose,5/18/2016,16-May,2016
5/15/2016 21:00,Manteca,5/15/2016,16-May,2016
5/14/2016 22:00,Baldwin park,5/14/2016,16-May,2016
5/12/2016 20:40,Torrance,5/12/2016,16-May,2016
5/11/2016 21:00,soledad,5/11/2016,16-May,2016
5/10/2016 21:24,Willows,5/10/2016,16-May,2016
5/9/2016 18:49,Torrance,5/9/2016,16-May,2016
5/7/2016 22:30,Long Beach,5/7/2016,16-May,2016
5/4/2016 21:30,Clovis,5/4/2016,16-May,2016
5/4/2016 21:05,Willits,5/4/2016,16-May,2016
5/4/2016 17:00,Manhattan Beach,5/4/2016,16-May,2016
4/30/2016 21:10,Newport Beach,4/30/2016,16-Apr,2016
4/30/2016 4:00,San Diego,4/30/2016,16-Apr,2016
4/29/2016 21:54,Castiac,4/29/2016,16-Apr,2016
4/29/2016 21:45,Santa Cruz,4/29/2016,16-Apr,2016
4/28/2016 22:40,Galt,4/28/2016,16-Apr,2016
4/26/2016 21:40,Barstow,4/26/2016,16-Apr,2016
4/26/2016 21:30,Reseda,4/26/2016,16-Apr,2016
4/26/2016 21:00,Costa Mesa,4/26/2016,16-Apr,2016
4/26/2016 20:25,San Diego,4/26/2016,16-Apr,2016
4/25/2016 21:40,Barstow (I-15 Fwy),4/25/2016,16-Apr,2016
4/23/2016 21:30,Sacramento,4/23/2016,16-Apr,2016
4/23/2016 12:00,Maywood,4/23/2016,16-Apr,2016
4/22/2016 20:30,Whittier,4/22/2016,16-Apr,2016
4/21/2016 20:40,El Segundo,4/21/2016,16-Apr,2016
4/21/2016 15:32,Van Nuys,4/21/2016,16-Apr,2016
4/20/2016 21:00,Palmdale,4/20/2016,16-Apr,2016
4/18/2016 22:11,Napa,4/18/2016,16-Apr,2016
4/18/2016 20:30,Palos Verdes Estates,4/18/2016,16-Apr,2016
4/18/2016 14:30,Marysville,4/18/2016,16-Apr,2016
4/16/2016 21:15,Rosamond,4/16/2016,16-Apr,2016
4/16/2016 18:24,Sacramento,4/16/2016,16-Apr,2016
4/15/2016 22:13,Goleta,4/15/2016,16-Apr,2016
4/12/2016 2:45,Van Nuys,4/12/2016,16-Apr,2016
4/10/2016 0:00,Lakeside,4/10/2016,16-Apr,2016
4/9/2016 21:30,Redlands,4/9/2016,16-Apr,2016
4/8/2016 23:45,Brawley,4/8/2016,16-Apr,2016
4/7/2016 21:30,Bass Lake,4/7/2016,16-Apr,2016
4/2/2016 23:00,Long Beach,4/2/2016,16-Apr,2016
4/2/2016 22:30,Folsom,4/2/2016,16-Apr,2016
4/2/2016 22:26,Riverside,4/2/2016,16-Apr,2016
4/2/2016 22:00,Tracy,4/2/2016,16-Apr,2016
4/2/2016 13:45,San Diego,4/2/2016,16-Apr,2016
4/1/2016 19:30,Bakersfield,4/1/2016,16-Apr,2016
4/1/2016 8:03,San Francisco,4/1/2016,16-Apr,2016
4/1/2016 4:23,San Jose,4/1/2016,16-Apr,2016
3/31/2016 22:05,Shasta Lake,3/31/2016,16-Mar,2016
3/31/2016 4:00,San Diego,3/31/2016,16-Mar,2016
3/30/2016 13:30,Sacramento,3/30/2016,16-Mar,2016
3/30/2016 0:30,Maywood,3/30/2016,16-Mar,2016
3/29/2016 20:30,Morro Bay,3/29/2016,16-Mar,2016
3/29/2016 19:39,Crestline,3/29/2016,16-Mar,2016
3/28/2016 0:15,Paradise,3/28/2016,16-Mar,2016
3/27/2016 20:50,Santa Maria,3/27/2016,16-Mar,2016
3/27/2016 20:45,Bakersfield,3/27/2016,16-Mar,2016
3/27/2016 17:00,Los Angeles,3/27/2016,16-Mar,2016
3/26/2016 21:55,Riverside,3/26/2016,16-Mar,2016
3/26/2016 18:00,North Hollywood,3/26/2016,16-Mar,2016
3/26/2016 14:25,Sacramento,3/26/2016,16-Mar,2016
3/25/2016 22:00,Reseda,3/25/2016,16-Mar,2016
3/25/2016 15:00,Mojave,3/25/2016,16-Mar,2016
3/20/2016 0:00,Santa Cruz,3/20/2016,16-Mar,2016
3/19/2016 13:00,Sacramento,3/19/2016,16-Mar,2016
3/18/2016 22:25,Castro Valley,3/18/2016,16-Mar,2016
3/18/2016 0:00,Newport Beach,3/18/2016,16-Mar,2016
3/17/2016 22:40,Castro Valley,3/17/2016,16-Mar,2016
3/17/2016 22:00,Blocksburg,3/17/2016,16-Mar,2016
3/17/2016 21:25,Chula Vista,3/17/2016,16-Mar,2016
3/17/2016 20:55,San Ysidro (Baja??),3/17/2016,16-Mar,2016
3/17/2016 5:30,Pine Grove,3/17/2016,16-Mar,2016
3/16/2016 21:40,Turlock,3/16/2016,16-Mar,2016
3/16/2016 14:00,Mount Shasta,3/16/2016,16-Mar,2016
3/15/2016 20:04,Barstow,3/15/2016,16-Mar,2016
3/15/2016 16:30,Benicia,3/15/2016,16-Mar,2016
3/14/2016 22:50,Hesperia,3/14/2016,16-Mar,2016
3/13/2016 22:58,Huntington Beach,3/13/2016,16-Mar,2016
3/8/2016 22:00,Castaic,3/8/2016,16-Mar,2016
3/7/2016 19:40,Roseville,3/7/2016,16-Mar,2016
3/6/2016 20:28,Riverside,3/6/2016,16-Mar,2016
3/6/2016 20:00,Goleta,3/6/2016,16-Mar,2016
3/5/2016 19:45,Escondido,3/5/2016,16-Mar,2016
3/3/2016 23:45,Huntington Beach,3/3/2016,16-Mar,2016
3/3/2016 9:00,Vallejo,3/3/2016,16-Mar,2016
3/1/2016 19:00,Indio,3/1/2016,16-Mar,2016
3/1/2016 16:34,Fresno,3/1/2016,16-Mar,2016
2/29/2016 18:20,Edwards,2/29/2016,16-Feb,2016
2/29/2016 18:09,Mojave,2/29/2016,16-Feb,2016
2/29/2016 17:45,Ridgecrest,2/29/2016,16-Feb,2016
2/28/2016 20:05,Chula Vista,2/28/2016,16-Feb,2016
2/28/2016 6:59,Rubidoux,2/28/2016,16-Feb,2016
2/26/2016,Lompoc,2/26/2016,16-Feb,2016
2/25/2016 12:45,Rancho Bernardo,2/25/2016,16-Feb,2016
2/23/2016 22:45,Riverside,2/23/2016,16-Feb,2016
2/23/2016 6:45,Livermore,2/23/2016,16-Feb,2016
2/22/2016 6:30,Tracy,2/22/2016,16-Feb,2016
2/22/2016 4:16,Bakersfield,2/22/2016,16-Feb,2016
2/21/2016 21:30,San Rafael,2/21/2016,16-Feb,2016
2/20/2016 23:45,San Luis Obispo,2/20/2016,16-Feb,2016
