City,Date,lat,lon
El Cajon,1/1/2010,32.7947731,-116.9625269
El Cajon,1/1/2010,32.7947731,-116.9625269
La Mesa,1/1/2010,32.7678287,-117.0230839
Lemon Grove,1/1/2010,32.7425516,-117.0314172
Bonita,1/1/2010,32.6583258,-117.0352904
Fresno,1/1/2010,36.7468422,-119.7725868
El Cajon,1/1/2010,32.7947731,-116.9625269
Spring Valley,1/1/2010,32.744774,-116.998916
El Cajon,1/1/2010,32.7947731,-116.9625269
Antioch,1/1/2010,38.0049214,-121.805789
Mount Helix Park,1/1/2010,32.7670722,-116.9836263
La Mesa,1/1/2010,32.7678287,-117.0230839
National City,1/1/2010,32.6781085,-117.0991967
San Diego,1/1/2010,32.715738,-117.1610838
San Diego,1/1/2010,32.715738,-117.1610838
Pasadena,1/1/2010,34.1477849,-118.1445155
Bakersfield,1/1/2010,35.3732921,-119.0187125
Orange,1/2/2010,33.7877944,-117.8531119
Sacramento,1/2/2010,38.5815719,-121.4943996
Whittier,1/4/2010,33.9791793,-118.032844
San Pablo,1/4/2010,37.9621457,-122.3455263
El Cajon,1/4/2010,32.7947731,-116.9625269
Chula Vista,1/5/2010,32.6400541,-117.0841955
Twenty Nine Palms,1/5/2010,34.1355582,-116.0541689
San Diego,1/6/2010,32.715738,-117.1610838
Pacific Palisades,1/6/2010,34.0356331,-118.5155901
Santa Fe Springs,1/9/2010,33.9472359,-118.0853451
Freedom (Watsonville),1/9/2010,36.9473733,-121.7903048
San Jacinto,1/10/2010,33.7839084,-116.958635
Lompoc,1/10/2010,34.6391501,-120.4579409
Fairfield,1/11/2010,38.2493581,-122.0399663
Ceres,1/12/2010,37.5949316,-120.9577098
Modesto,1/13/2010,37.6390972,-120.9968782
Carlsbad,1/15/2010,33.1580933,-117.3505939
Bakersfield,1/15/2010,35.3732921,-119.0187125
Fresno,1/15/2010,36.7468422,-119.7725868
North San Juan,1/15/2010,39.3700973,-121.1038655
Long Beach,1/15/2010,33.7700504,-118.1937395
Whittier,1/15/2010,33.9791793,-118.032844
Corona,1/16/2010,33.8752935,-117.5664384
Corona,1/16/2010,33.8752935,-117.5664384
Grass Valley,1/16/2010,39.2190608,-121.0610606
Arroyo Grande,1/18/2010,35.1185868,-120.5907252
Azusa,1/19/2010,34.1336186,-117.9075627
Pt. Mugu/Oxnard,1/20/2010,34.1285495,-119.1259795
San Jose,1/20/2010,37.3382082,-121.8863286
Lakewood,1/23/2010,33.8536269,-118.1339563
Pacific Grove,1/23/2010,36.6177374,-121.9166215
Santa Fe Springs,1/27/2010,33.9472359,-118.0853451
Santa Ana,1/28/2010,33.7455731,-117.8678338
Perris,1/28/2010,33.7825194,-117.2286478
Oakland,1/30/2010,37.8043637,-122.2711137
Clovis,2/1/2010,36.8252277,-119.7029194
Mare Island,2/1/2010,38.0954755,-122.2724704
Beckwourth,2/2/2010,39.8201799,-120.3788225
Los Angeles,2/4/2010,34.0522342,-118.2436849
Monterey,2/6/2010,36.6002378,-121.8946761
Modesto,2/7/2010,37.6390972,-120.9968782
Santa Maria,2/8/2010,34.9530337,-120.4357191
Kettleman City,2/9/2010,36.0082864,-119.9617998
Modesto,2/9/2010,37.6390972,-120.9968782
Santa Nella,2/12/2010,38.497135,-122.9666644
Ft. Bragg,2/12/2010,39.445723,-123.8052935
San Bernardino,2/13/2010,34.1083449,-117.2897652
Los Angeles,2/13/2010,34.0522342,-118.2436849
Pasadena/Los Angeles,2/13/2010,34.1477849,-118.1445155
Sunnyvale,2/13/2010,37.36883,-122.0363496
Redding,2/14/2010,40.5865396,-122.3916754
Long Beach,2/15/2010,33.7700504,-118.1937395
Fontana,2/16/2010,34.0922335,-117.435048
San Diego,2/18/2010,32.715738,-117.1610838
Woodland Hills,2/19/2010,34.165357,-118.6089752
Randsburg,2/20/2010,35.3685739,-117.6581161
Santa Rosa,2/24/2010,38.440429,-122.7140548
Santa Barbara,2/24/2010,34.4208305,-119.6981901
Twin Peaks,2/25/2010,34.2384241,-117.2358006
Temple City,2/25/2010,34.1072305,-118.0578456
Sonoma,2/26/2010,38.291859,-122.4580356
San Diego,3/1/2010,32.715738,-117.1610838
Visalia,3/1/2010,36.3302284,-119.2920585
Davenport,3/1/2010,37.0135208,-122.1966597
Pittsburg,3/1/2010,38.0279762,-121.8846806
Ontario,3/4/2010,34.0633443,-117.6508876
Eureka,3/6/2010,40.8020712,-124.1636729
La Palma,3/9/2010,33.846404,-118.0467306
Anaheim,3/10/2010,33.8352932,-117.9145036
Livermore,3/10/2010,37.6818745,-121.7680088
North Hollywood,3/12/2010,34.187044,-118.3812562
Carmel-by-the-Sea,3/14/2010,36.5552386,-121.9232879
Pasadena,3/14/2010,34.1477849,-118.1445155
Crestline,3/15/2010,34.2419509,-117.2855993
Modesto,3/15/2010,37.6390972,-120.9968782
Long Beach,3/16/2010,33.7700504,-118.1937395
Riverside,3/17/2010,33.9533487,-117.3961564
Irvine,3/17/2010,33.6839473,-117.7946942
Eureka,3/18/2010,40.8020712,-124.1636729
Simi Valley,3/19/2010,34.2694474,-118.781482
Stockton,3/21/2010,37.9577016,-121.2907796
Stockton,3/24/2010,37.9577016,-121.2907796
Bloomington,3/26/2010,34.07029,-117.3958797
Del Mar,3/26/2010,32.9594891,-117.2653146
Elk Grove,3/26/2010,38.4087993,-121.3716178
San Francisco,3/26/2010,37.7749295,-122.4194155
San Jose,3/26/2010,37.3382082,-121.8863286
Valencia,3/27/2010,34.4560447,-118.5713357
Bakersfield,3/27/2010,35.3732921,-119.0187125
Los Angeles,3/27/2010,34.0522342,-118.2436849
Modesto,3/28/2010,37.6390972,-120.9968782
Monterey,3/28/2010,36.6002378,-121.8946761
Burbank,3/28/2010,34.1808392,-118.3089661
Los Angeles,3/29/2010,34.0522342,-118.2436849
Modesto,3/31/2010,37.6390972,-120.9968782
North Hollywood,3/31/2010,34.187044,-118.3812562
Santa Ana,4/2/2010,33.7455731,-117.8678338
La Quinta,4/2/2010,33.6633573,-116.3100095
Monterey,4/3/2010,36.6002378,-121.8946761
Modesto,4/4/2010,37.6390972,-120.9968782
Los Angeles,4/4/2010,34.0522342,-118.2436849
San Marcos,4/6/2010,33.1433723,-117.1661449
Pomona,4/7/2010,34.055103,-117.7499909
Westchester,4/8/2010,33.9625905,-118.3987842
Downey,4/8/2010,33.9401088,-118.1331593
Salinas,4/8/2010,36.6777372,-121.6555013
San Diego,4/8/2010,32.715738,-117.1610838
Pomona,4/8/2010,34.055103,-117.7499909
Oakland,4/9/2010,37.8043637,-122.2711137
San Diego,4/10/2010,32.715738,-117.1610838
Rialto,4/11/2010,34.1064001,-117.3703235
Santa Cruz,4/14/2010,36.9741171,-122.0307963
Ventura,4/15/2010,34.274646,-119.2290316
Bakersfield,4/15/2010,35.3732921,-119.0187125
Santa Cruz,4/16/2010,36.9741171,-122.0307963
Nipomo,4/17/2010,35.0427547,-120.4759986
Merced,4/18/2010,37.3021632,-120.4829677
Colton,4/18/2010,34.0739016,-117.3136547
Porterville,4/19/2010,36.06523,-119.0167679
San Clemente,4/20/2010,33.4269728,-117.6119925
Sherman Oaks,4/21/2010,34.1489719,-118.451357
Squaw Valley,4/21/2010,39.1969804,-120.2357055
Claremont,4/22/2010,34.0966764,-117.7197785
Santa Barbara,4/22/2010,34.4208305,-119.6981901
Santa Barbara,4/22/2010,34.4208305,-119.6981901
Los Altos Hills,4/23/2010,37.3796627,-122.1374637
Yorba Linda,4/23/2010,33.8886259,-117.8131125
Corona,4/23/2010,33.8752935,-117.5664384
West Covina,4/24/2010,34.0686208,-117.9389526
Lake Elsinore,4/24/2010,33.6680772,-117.3272615
Lake Elsinore,4/25/2010,33.6680772,-117.3272615
Laguna Hills,4/26/2010,33.590277,-117.6962824
Capitola,4/28/2010,36.9752283,-121.953293
San Carlos,5/1/2010,37.5071591,-122.2605222
San Bernardino,5/1/2010,34.1083449,-117.2897652
Santa Cruz,5/1/2010,36.9741171,-122.0307963
Los Angeles,5/2/2010,34.0522342,-118.2436849
Berkeley,5/2/2010,37.8715926,-122.272747
Wilmington,5/2/2010,33.7857948,-118.2643567
Ukiah,5/3/2010,39.1501709,-123.2077831
Santa Clarita,5/4/2010,34.3916641,-118.542586
Pollock Pines,5/4/2010,38.7612923,-120.5865935
Palm Springs,5/5/2010,33.8302961,-116.5452921
Caviota,5/6/2010,34.4716558,-120.2148716
Sacramento,5/6/2010,38.5815719,-121.4943996
Fairfield,5/6/2010,38.2493581,-122.0399663
Oakland,5/7/2010,37.8043637,-122.2711137
Los Angeles,5/8/2010,34.0522342,-118.2436849
Mill Valley,5/8/2010,37.9060368,-122.5449763
Fairfield,5/9/2010,38.2493581,-122.0399663
Escondido,5/9/2010,33.1192068,-117.086421
Trinidad,5/10/2010,41.059291,-124.1431246
Big Sur,5/11/2010,36.2704212,-121.807976
Palo Cedro,5/12/2010,40.5637631,-122.2388916
Livermore,5/12/2010,37.6818745,-121.7680088
Tujunga,5/13/2010,34.2586812,-118.288508
Temecula,5/14/2010,33.4936391,-117.1483648
Bloomington,5/16/2010,34.07029,-117.3958797
EL Cerrito,5/19/2010,37.9161326,-122.310765
Chino,5/20/2010,34.0122346,-117.688944
San Jose,5/21/2010,37.3382082,-121.8863286
Riverside,5/21/2010,33.9533487,-117.3961564
San Francisco,5/22/2010,37.7749295,-122.4194155
Los Gatos,5/23/2010,37.2358078,-121.9623751
Los Angeles,5/25/2010,34.0522342,-118.2436849
La Mesa,5/25/2010,32.7678287,-117.0230839
Santa Ana,5/26/2010,33.7455731,-117.8678338
Claremont,5/26/2010,34.0966764,-117.7197785
Norwalk,5/26/2010,33.9022367,-118.081733
Palmdale,5/27/2010,34.5794343,-118.1164613
